time,y_1,y_2,width,y
300,3.799,5.355,3,3.5439999999999996
335,8.389,7.271,3,9.283
1255,4.173,4.173,3,4.579
20,0.75,0.9279999999999999,2,0.706
170,0.695,1.2009999999999998,3,0.983
225,1.062,0.9109999999999999,3,1.102
1295,6.41,5.737,3,6.112
65,0.9,0.7371428570999999,3,0.3171428571
470,11.455,13.462,2,10.434000000000001
245,1.25,0.945,3,0.856
1015,11.722999999999999,13.322000000000001,2,13.534
985,17.438,17.177,3,25.284000000000002
1045,16.234,13.546,2,15.177
735,9.982000000000001,11.693,3,12.439
270,2.64,3.056,3,4.133
110,0.667,1.016,3,0.8109999999999999
1060,29.028000000000002,20.820999999999998,3,18.227999999999998
530,5.9225,4.26375,3,5.19
10,0.65,0.9670000000000001,2,0.9279999999999999
300,4.529,6.234,2,4.285
560,3.9,4.506,3,6.205
1400,1.54,1.54,3,1.979
925,20.756,19.271,3,20.905
400,10.800999999999998,8.446,2,12.607000000000001
770,11.693,11.800999999999998,3,12.872
1425,0.9940000000000001,1.1111111111,3,0.9790000000000001
395,8.058,7.516,2,10.982999999999999
465,14.017999999999999,12.612,2,11.761
100,0.467,0.07200000000000001,3,0.395
975,13.23,13.562000000000001,2,6.835
1160,5.23625,6.671,3,6.577000000000001
300,4.26,5.617999999999999,2,4.611000000000001
1310,2.705,2.7489999999999997,2,3.117
330,5.978,8.094,3,7.65
300,1.9680000000000002,2.18125,3,2.1390000000000002
445,16.855,15.427,3,18.667
735,6.1111111111000005,6.1111111111000005,3,7.7088888889
1360,2.6244444444,2.807,3,2.89625
295,5.617999999999999,5.055,2,4.26
350,9.422,6.655,2,9.539
700,11.561,11.488,3,9.329
1130,10.377,10.377,3,9.422
515,10.012,9.007,2,10.806
490,12.922,17.695999999999998,3,13.3875
965,12.135,11.6,2,10.289000000000001
1120,12.548,10.449000000000002,3,10.187999999999999
870,14.729000000000001,15.849,3,12.595
1265,4.72875,4.9388888889,3,4.15
305,3.71,4.399,3,4.05
640,6.205,4.66,3,4.789
120,0.156,0.54,3,0.3675
450,6.3229999999999995,6.3229999999999995,3,7.266
400,13.25,13.012,3,14.5325
210,0.2,0.44,2,0.423
15,1.2388888889,1.2388888889,3,1.139
315,5.316,3.1,3,5.566
55,0.649,0.5055555556,2,0.455
890,11.0377777778,10.0377777778,3,9.4757142857
660,8.439,6.023,2,6.712999999999999
415,8.013,9.252,2,9.445
1035,13.65,14.705,3,12.145
905,10.639000000000001,9.773,3,10.616
1130,8.925,8.81,3,7.7771428571
845,7.632999999999999,8.7,3,7.555
70,0.606,0.517,3,0.36200000000000004
135,0.645,0.2057142857,3,0.312
440,7.80625,5.055,3,4.69
250,1.9769999999999999,1.238,3,1.517
1080,11.995,12.1477777778,3,10.195
115,0.624,0.23399999999999999,3,0.14400000000000002
435,5.644,6.688,3,7.96
720,7.343999999999999,7.343999999999999,3,5.667999999999999
455,12.255,12.212,2,14.712
1075,18.711,16.801,3,25.454
910,14.683,14.789000000000001,3,13.552
460,12.612,12.195,2,14.017999999999999
960,13.806,13.345,3,17.750999999999998
590,10.872,9.133,3,8.517000000000001
845,6.9455555555999995,6.9455555555999995,3,9.02125
1075,13.267000000000001,19.459,3,10.044
125,0.6990000000000001,0.5,3,0.884
1235,5.2088888889,5.2088888889,3,4.412
25,0.82625,0.466,2,0.738
905,14.789000000000001,15.578,3,14.683
210,1.145,0.512,3,0.884
1300,2.4130000000000003,3.217,2,3.34
835,9.06125,8.267999999999999,3,9.177
365,7.022,8.221,3,7.36
875,8.0733333333,8.0733333333,3,9.4188888889
660,5.5,6.0111111111,3,5.773
1205,5.817,5.655,3,6.29
1330,2.95125,2.727,3,2.75
610,4.895,4.0857142857,3,5.0866666667
1045,14.039000000000001,12.145,3,13.289000000000001
380,5.0183333333,4.1422222222,3,6.18875
580,10.222000000000001,11.667,3,10.703
925,11.262,11.717,2,12.694
1310,3.906,5.1160000000000005,3,4.955
730,11.144,9.578,3,10.066
445,18.692999999999998,14.762,3,17.383
605,8.795,9.306000000000001,3,9.727
730,11.693,9.011000000000001,3,9.982000000000001
405,7.216,6.7385714286,3,7.395
890,21.987,18.36,3,19.566
900,10.933333333299998,10.933333333299998,3,11.825
1320,3.216,4.6657142857,3,3.1922222222000003
1010,22.643,20.173,3,23.379
770,9.677999999999999,8.495,2,9.094
235,1.077,1.123,3,1.439
945,21.888,23.721999999999998,3,21.416
990,12.7033333333,13.199000000000002,3,14.425999999999998
45,0.20600000000000002,0.978,2,0.4322222222
230,1.102,1.062,3,0.69
1115,11.667,8.9,2,9.222999999999999
1165,8.816,8.967,3,7.966
710,6.12375,5.927142857100001,3,3.833
550,4.477,5.0280000000000005,3,4.506
385,12.606,9.705,3,11.195
